symbol,entry_time,entry,stop,target,quantity,risk_per_share,risk_pct_of_entry,planned_risk,gross_pnl,net_pnl,r_multiple,reason
WIPRO,2026-08-11 14:10:00+05:30,184.01,183.69,184.65,54,0.3199999999999932,0.1739035921960726,17.27999999999963,-5.939999999999202,-26.4304574420644,-0.34374999999996114,SESSION_CLOSE
HINDUNILVR,2026-08-28 11:00:00+05:30,2009.8,2006.3,2016.8,4,3.5,0.1741466812618171,14.0,-14.0,-30.567397502392,-1.0,STOP
BHARTIARTL,2026-08-21 10:55:00+05:30,1948.6,1945.2,1955.4,5,3.3999999999998636,0.17448424509903848,16.999999999999318,-16.999999999999318,-37.07859638741932,-1.0,STOP
ITC,2026-08-07 11:35:00+05:30,285.55,285.05,286.55,35,0.5,0.17510068289266326,17.5,-17.5,-38.09630779178,-1.0,STOP
M&M,2026-08-04 09:50:00+05:30,3414.6,3408.6,3426.6,2,6.0,0.17571604287471446,12.0,24.0,9.885234400368,2.0,TARGET
M&M,2026-08-14 12:05:00+05:30,3409.4,3403.4,3421.4,2,6.0,0.17598404411333374,12.0,-12.0,-26.052221671808,-1.0,STOP
RELIANCE,2026-08-17 12:35:00+05:30,1304.2,1301.9,1308.8,7,2.2999999999999545,0.1763533200429347,16.09999999999968,32.19999999999936,13.330989270619362,2.0,TARGET
BHARTIARTL,2026-08-06 13:05:00+05:30,1965.3,1961.8,1972.3,5,3.5,0.1780898590545973,17.5,-17.5,-37.75027068289,-1.0,STOP
KOTAKBANK,2026-08-14 13:15:00+05:30,392.1,391.4,393.5000000000001,25,0.7000000000000455,0.17852588625351834,17.500000000001137,35.000000000002274,14.739312984802272,2.0,TARGET
M&M,2026-08-03 12:20:00+05:30,3413.8,3407.7,3426.000000000001,2,6.100000000000364,0.1786865077040355,12.200000000000728,-12.200000000000728,-26.27014615674073,-1.0,STOP
TCS,2026-08-07 13:05:00+05:30,2436.5,2432.1,2445.3,4,4.400000000000091,0.18058690744921368,17.600000000000364,35.20000000000073,15.05563371470473,2.0,TARGET
BAJFINANCE,2026-08-18 13:45:00+05:30,1097.6,1095.6,1101.6,9,2.0,0.18221574344023325,18.0,-18.0,-38.35676004458401,-1.0,STOP
RELIANCE,2026-08-20 12:45:00+05:30,1313.4,1311.0,1318.2000000000005,7,2.400000000000091,0.18273184102330522,16.800000000000637,-16.800000000000637,-35.74592702234464,-1.0,STOP
HCLTECH,2026-08-25 14:15:00+05:30,1303.5,1301.1,1308.3000000000002,7,2.400000000000091,0.18411967779057084,16.800000000000637,33.60000000000127,14.739499090933272,2.0,TARGET
M&M,2026-08-05 13:10:00+05:30,3471.6,3465.2,3484.4,2,6.400000000000091,0.1843530360640653,12.800000000000182,-12.800000000000182,-27.10792265244818,-1.0,STOP
HDFCBANK,2026-08-17 12:50:00+05:30,726.75,725.4,729.45,13,1.3500000000000227,0.1857585139318917,17.550000000000296,35.10000000000059,15.570982238292594,2.0,TARGET
HINDUNILVR,2026-08-07 09:45:00+05:30,2095.0,2091.1,2102.8,4,3.900000000000091,0.18615751789976567,15.600000000000364,-15.600000000000364,-32.868578384792364,-1.0,STOP
TCS,2026-08-27 12:40:00+05:30,2259.3,2255.0,2267.9000000000005,4,4.300000000000182,0.19032443677245967,17.200000000000728,-17.200000000000728,-35.82243373069673,-1.0,STOP
ITC,2026-08-11 12:15:00+05:30,281.7,281.15,282.8,35,0.5500000000000114,0.19524316648917692,19.250000000000398,-19.2500000000004,-39.5663460942054,-1.0000000000000002,STOP
RELIANCE,2026-08-10 11:05:00+05:30,1330.5,1327.9,1335.6999999999998,7,2.599999999999909,0.19541525742201496,18.199999999999363,-18.199999999999363,-37.391247931183365,-1.0,STOP
ADANIENT,2026-08-12 13:05:00+05:30,2962.2,2956.4,2973.7999999999997,3,5.799999999999727,0.1958004186077823,17.39999999999918,-17.39999999999918,-35.711545606643185,-1.0,STOP
HDFCBANK,2026-08-06 12:20:00+05:30,736.9,735.45,739.7999999999998,13,1.4499999999999318,0.19677025376576626,18.849999999999113,-18.849999999999117,-38.58962719914811,-1.0000000000000002,STOP
ICICIBANK,2026-08-11 14:10:00+05:30,1421.8,1419.0,1427.4,7,2.7999999999999545,0.19693346462230657,19.59999999999968,29.40000000000032,8.83607642957232,1.5000000000000406,SESSION_CLOSE
LT,2026-08-18 11:45:00+05:30,4072.4,4064.3,4088.6,2,8.099999999999909,0.19889991160003703,16.199999999999818,-16.199999999999818,-32.982719603011816,-1.0,STOP
ICICIBANK,2026-08-27 11:35:00+05:30,1443.9,1441.0,1449.7000000000005,6,2.900000000000091,0.20084493385969185,17.400000000000546,-17.400000000000546,-35.25112544149255,-1.0,STOP
SBIN,2026-08-07 11:15:00+05:30,1090.5,1088.3,1094.9,9,2.2000000000000455,0.2017423200366846,19.80000000000041,-19.80000000000041,-40.02289167405641,-1.0,STOP
BAJFINANCE,2026-08-10 12:20:00+05:30,1088.3,1086.1,1092.7,9,2.2000000000000455,0.20215014242396817,19.80000000000041,39.60000000000082,19.350152463780816,2.0,TARGET
WIPRO,2026-08-27 12:40:00+05:30,177.67,177.31,178.38999999999996,56,0.3599999999999852,0.20262284009680037,20.159999999999172,-20.15999999999917,-40.66100196235757,-0.9999999999999998,STOP
