symbol,timestamp,reason
AXISBANK,2026-08-18 14:40:00+05:30,DAILY_LOSS_LIMIT
RELIANCE,2026-08-18 14:55:00+05:30,DAILY_LOSS_LIMIT
ICICIBANK,2026-08-18 15:10:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-19 11:10:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-19 11:15:00+05:30,DAILY_LOSS_LIMIT
M&M,2026-08-19 11:25:00+05:30,DAILY_LOSS_LIMIT
HCLTECH,2026-08-19 11:40:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-19 11:50:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-19 12:00:00+05:30,DAILY_LOSS_LIMIT
TCS,2026-08-19 13:15:00+05:30,DAILY_LOSS_LIMIT
HDFCBANK,2026-08-19 14:00:00+05:30,DAILY_LOSS_LIMIT
TCS,2026-08-19 14:05:00+05:30,DAILY_LOSS_LIMIT
HDFCBANK,2026-08-19 14:35:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-19 14:40:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-19 14:50:00+05:30,DAILY_LOSS_LIMIT
HCLTECH,2026-08-19 14:55:00+05:30,DAILY_LOSS_LIMIT
TITAN,2026-08-19 15:00:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-19 15:05:00+05:30,DAILY_LOSS_LIMIT
HDFCBANK,2026-08-19 15:10:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-20 10:00:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-20 10:35:00+05:30,DAILY_LOSS_LIMIT
BAJFINANCE,2026-08-20 10:40:00+05:30,DAILY_LOSS_LIMIT
BAJFINANCE,2026-08-20 10:55:00+05:30,DAILY_LOSS_LIMIT
BHARTIARTL,2026-08-20 11:05:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-20 11:15:00+05:30,DAILY_LOSS_LIMIT
M&M,2026-08-20 11:20:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-20 11:25:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-20 11:30:00+05:30,DAILY_LOSS_LIMIT
BHARTIARTL,2026-08-20 11:35:00+05:30,DAILY_LOSS_LIMIT
M&M,2026-08-20 11:55:00+05:30,DAILY_LOSS_LIMIT
MARUTI,2026-08-20 12:05:00+05:30,INVALID_POSITION_SIZE
ADANIENT,2026-08-20 12:25:00+05:30,DAILY_LOSS_LIMIT
BHARTIARTL,2026-08-20 12:30:00+05:30,DAILY_LOSS_LIMIT
RELIANCE,2026-08-20 12:40:00+05:30,DAILY_LOSS_LIMIT
HINDUNILVR,2026-08-20 12:45:00+05:30,DAILY_LOSS_LIMIT
HINDUNILVR,2026-08-20 12:50:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-20 12:55:00+05:30,DAILY_LOSS_LIMIT
BHARTIARTL,2026-08-20 13:05:00+05:30,DAILY_LOSS_LIMIT
SBIN,2026-08-20 13:10:00+05:30,DAILY_LOSS_LIMIT
SBIN,2026-08-20 13:25:00+05:30,DAILY_LOSS_LIMIT
HINDUNILVR,2026-08-20 13:30:00+05:30,DAILY_LOSS_LIMIT
WIPRO,2026-08-20 14:15:00+05:30,DAILY_LOSS_LIMIT
M&M,2026-08-20 14:20:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-20 14:25:00+05:30,DAILY_LOSS_LIMIT
BAJFINANCE,2026-08-20 14:30:00+05:30,DAILY_LOSS_LIMIT
ITC,2026-08-20 14:35:00+05:30,DAILY_LOSS_LIMIT
BAJFINANCE,2026-08-20 14:40:00+05:30,DAILY_LOSS_LIMIT
BAJFINANCE,2026-08-20 14:45:00+05:30,DAILY_LOSS_LIMIT
ITC,2026-08-20 14:50:00+05:30,DAILY_LOSS_LIMIT
MARUTI,2026-08-20 14:55:00+05:30,INVALID_POSITION_SIZE
SUNPHARMA,2026-08-20 15:00:00+05:30,DAILY_LOSS_LIMIT
HINDUNILVR,2026-08-20 15:05:00+05:30,DAILY_LOSS_LIMIT
BHARTIARTL,2026-08-20 15:10:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-21 09:15:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-21 09:25:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-21 09:35:00+05:30,DAILY_LOSS_LIMIT
SBIN,2026-08-21 09:40:00+05:30,DAILY_LOSS_LIMIT
BHARTIARTL,2026-08-21 10:50:00+05:30,DAILY_LOSS_LIMIT
ICICIBANK,2026-08-21 11:05:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-21 11:30:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-21 11:35:00+05:30,DAILY_LOSS_LIMIT
RELIANCE,2026-08-21 11:45:00+05:30,DAILY_LOSS_LIMIT
TCS,2026-08-21 11:50:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-21 11:55:00+05:30,DAILY_LOSS_LIMIT
WIPRO,2026-08-21 12:20:00+05:30,DAILY_LOSS_LIMIT
WIPRO,2026-08-21 13:00:00+05:30,DAILY_LOSS_LIMIT
ICICIBANK,2026-08-21 13:05:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-21 13:15:00+05:30,DAILY_LOSS_LIMIT
TITAN,2026-08-21 13:25:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-21 13:50:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-21 14:00:00+05:30,DAILY_LOSS_LIMIT
M&M,2026-08-21 14:10:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-21 14:25:00+05:30,DAILY_LOSS_LIMIT
HINDUNILVR,2026-08-21 14:35:00+05:30,DAILY_LOSS_LIMIT
HINDUNILVR,2026-08-21 14:40:00+05:30,DAILY_LOSS_LIMIT
ICICIBANK,2026-08-21 14:45:00+05:30,DAILY_LOSS_LIMIT
HINDUNILVR,2026-08-21 14:50:00+05:30,DAILY_LOSS_LIMIT
HINDUNILVR,2026-08-21 14:55:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-21 15:10:00+05:30,DAILY_LOSS_LIMIT
HINDUNILVR,2026-08-24 09:15:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-24 09:20:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-24 09:35:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-24 09:45:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-24 09:50:00+05:30,DAILY_LOSS_LIMIT
INFY,2026-08-24 11:15:00+05:30,DAILY_LOSS_LIMIT
HCLTECH,2026-08-24 12:25:00+05:30,DAILY_LOSS_LIMIT
HCLTECH,2026-08-24 12:30:00+05:30,DAILY_LOSS_LIMIT
INFY,2026-08-24 12:40:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-24 12:55:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-24 13:00:00+05:30,DAILY_LOSS_LIMIT
