symbol,signal_time,entry_time,exit_time,entry,stop,target,exit,quantity,signal_score,rsi,vol_ratio,ema9,ema21,ema50,vwap,close_vwap_distance_pct,close_ema21_distance_pct,ema21_ema50_distance_pct,previous_close_vwap_distance_pct,pullback_distance_pct,body_ratio,risk_per_share,entry_stop_distance_pct,mae,mfe,mae_r,mfe_r,net_r,gross_pnl,total_cost,net_pnl,reason,signal_hour,signal_minute
SBIN,2026-08-07 09:30:00+05:30,2026-08-07 09:35:00+05:30,2026-08-07 13:45:00+05:30,1086.9,1080.6,1099.5000000000005,1099.5000000000005,9,,65.59240043375006,1.219598294495851,1084.3683184598242,1082.1257934289847,1074.9318664475052,1084.4565710916017,0.1976500457035926,0.41346455265959103,0.6647958144204092,0.06897366643023657,0.33683599636451195,0.5428571428571038,6.300000000000182,0.5796301407673365,-5.7000000000000455,26.899999999999864,-0.9047619047618859,4.269841269841125,1.6418325939123912,113.40000000000327,20.308091925168004,93.09190807483527,TARGET,9,30
M&M,2026-08-07 13:50:00+05:30,2026-08-07 13:55:00+05:30,2026-08-07 14:20:00+05:30,3493.9,3487.0,3507.7000000000003,3487.0,2,,65.73382153383014,1.6944873351954268,3491.115220048644,3484.9894340270794,3470.281589647157,3491.5112654326676,0.07127958004809572,0.2585536095157819,0.4220341168416883,0.01574197116497994,0.110301812037499,0.4807692307692476,6.900000000000091,0.1974870488565812,-10.200000000000273,10.400000000000091,-1.4782608695652375,1.5072463768115876,-2.0433900554872326,-13.800000000000182,14.398782765724,-28.198782765724182,STOP,13,50
INFY,2026-08-10 09:25:00+05:30,2026-08-10 09:30:00+05:30,2026-08-10 09:55:00+05:30,1180.8,1176.3,1189.8,1189.8,8,,60.90086996460348,2.6965506164767192,1177.7329797284376,1177.167558493348,1175.774679639279,1178.0670392608224,0.22349837924586052,0.30007975340173376,0.11832460417545039,-0.1265511111121019,0.1265511111121019,0.8461538461538562,4.5,0.3810975609756098,-3.599999999999909,10.100000000000136,-0.7999999999999798,2.2444444444444747,1.4564346975759999,72.0,19.568350887264,52.431649112736,TARGET,9,25
HCLTECH,2026-08-10 10:15:00+05:30,2026-08-10 10:20:00+05:30,2026-08-10 12:40:00+05:30,1363.0,1358.2,1372.6,1358.2,7,,64.30537531944776,1.7701682762920468,1359.374080643031,1357.1875991984841,1354.229294200217,1357.6958166712268,0.39067538278035674,0.4282680452539144,0.21797318219044715,0.1999623412828172,-0.11151158741379856,0.8571428571428262,4.7999999999999545,0.35216434336023145,-5.400000000000091,4.5,-1.1250000000000295,0.9375000000000089,-1.584611920461672,-33.59999999999968,19.642960527512,-53.24296052751168,STOP,10,15
TITAN,2026-08-10 12:45:00+05:30,2026-08-10 12:50:00+05:30,2026-08-10 13:55:00+05:30,5084.8,5072.0,5110.400000000001,5072.0,1,,60.544248901843325,1.3126097316277903,5074.138531748279,5070.12882061656,5049.125663313228,5070.741536421581,0.2772467000623339,0.2893650221229698,0.41425293215287434,0.08651497423953369,-0.06481322058364283,0.6352941176470696,12.800000000000182,0.2517306482064227,-13.800000000000182,18.0,-1.078124999999999,1.40624999999998,-1.8183115973299881,-12.800000000000182,10.474388445824,-23.27438844582418,STOP,12,45
INFY,2026-08-11 11:30:00+05:30,2026-08-11 11:35:00+05:30,2026-08-11 14:35:00+05:30,1189.2,1186.1,1195.4000000000003,1186.1,8,,62.822474604861185,1.8954107042213582,1186.885287673059,1186.5805738696056,1186.1504238470109,1186.0700262458013,0.28918813209161215,0.2460369059366744,0.0362512274402013,0.1417721831293231,-0.034676952353343324,0.6388888888888521,3.1000000000001364,0.2606794483686627,-3.1000000000001364,3.7000000000000455,-1.0,1.1935483870967363,-1.790180798275449,-24.80000000000109,19.596483797232,-44.39648379723309,STOP,11,30
SBIN,2026-08-12 11:05:00+05:30,2026-08-12 11:10:00+05:30,2026-08-12 11:10:00+05:30,1080.6,1078.5,1084.7999999999995,1078.5,9,,63.50134830218011,1.3080350380640504,1079.4479253122443,1077.96165953833,1074.4755293533508,1079.3039322595278,0.120083667050006,0.24475271808831223,0.32340020205099096,-0.010353172797456418,0.06594930670192536,0.551724137931029,2.099999999999909,0.194336479733473,-2.3999999999998636,0.40000000000009095,-1.1428571428571275,0.19047619047624204,-2.0603239249229026,-18.89999999999918,20.040122181042,-38.940122181041176,STOP,11,5
SBIN,2026-08-12 12:55:00+05:30,2026-08-12 13:00:00+05:30,2026-08-12 13:05:00+05:30,1082.2,1081.0,1084.6,1081.0,9,,64.38615009726189,1.7210511087473748,1079.8845634947138,1078.6006217497686,1076.6676102132046,1079.8575447129394,0.21692262081507258,0.3337081564437,0.17921476194109157,0.20655797990812766,-0.1509700224488675,0.466666666666697,1.2000000000000455,0.11088523378303876,-1.6000000000001364,0.2999999999999545,-1.3333333333333965,0.24999999999995262,-2.859173343146596,-10.80000000000041,20.079072105984,-30.87907210598441,STOP,12,55
KOTAKBANK,2026-08-12 13:25:00+05:30,2026-08-12 13:30:00+05:30,2026-08-12 14:45:00+05:30,391.0,390.1,392.8,392.8,25,,59.78869534814193,2.6033954297769473,390.3870615286746,390.16539460236027,390.05092794039695,390.42950752716905,0.09489356354685333,0.1626503545468219,0.02933798423614154,0.02179346961942101,0.06786622487248163,0.388888888888924,0.8999999999999773,0.2301790281329865,-0.6000000000000227,1.8500000000000227,-0.6666666666667088,2.0555555555556326,1.101538947017755,44.99999999999886,20.2153736921,24.78462630789886,TARGET,13,25
SBIN,2026-08-13 10:40:00+05:30,2026-08-13 10:45:00+05:30,2026-08-13 11:45:00+05:30,1083.0,1080.5,1088.0,1080.5,9,,55.875726220190266,1.9252583315491016,1081.6885891673628,1081.4449504771312,1080.2212865390204,1082.2505432595774,0.0692498373034168,0.1437936829038501,0.11315083006036744,-0.13226067950506087,0.15074272620081688,0.9583333333332781,2.5,0.23084025854108958,-3.2000000000000455,2.0,-1.2800000000000182,0.8,-1.892469773572,-22.5,20.08056990537,-42.58056990537,STOP,10,40
